,review,final_text,label
0,Excellent rapport qualité-prix. Très satisfait de mon achat.,,2
1,Muy buena relación calidad-precio. Repetiré la compra.,,2
2,"Brilliant product, can't fault it at ALL. 👍",,2
3,Wunderbar! Genau was ich gesucht habe.,,2
4,"Rien de spécial, commande correctement traitée.",,1
5,Calidad excepcional para el precio. MUY recomendable.,,2
6,"Solid build, attractive design, works as advertised. Love it.",,2
7,Exactly what I was looking for. Great price.,,2
8,Great value for money. Highly recommend to EVERYONE.,,2
9,Regular tirando a bien. Cumple con lo básico.,,1
10,"Excelente producto, lo recomendaría sin dudarlo.",,2
11,Okay for the price. Don't expect premium quality.,,1
12,Hervorragende Qualität. Würde ich sofort wieder kaufen.,,2
13,"Mauvaise qualité, ne ressemble pas du TOUT aux photos.",,0
14,Absoluter Betrug! Produkt nie erhalten. Finger weg!,,0
15,"Superb quality, very sturdy and well-made. Five STARS.",,2
16,Exactly what I was looking for. Great price.,,2
17,Great value for money. Highly recommend to everyone. ⭐,,2
18,C'est correct pour le prix. lol,,2
19,Ausgezeichnetes Produkt. Übertrifft alle meine Erwartungen.,,2
20,Muy buena relación calidad-precio. Repetiré la compra.,,2
21,Great value for money. Highly recommend to everyone.,,2
22,Absolutely love this product! BEST purchase I've made this year.,,2
23,"Parfait! Rien à redire, je commande à nouveau.",,2
24,Fantastic item! Exceeded ALL my expectations.,,2
25,¡Fantástico! Supera todas mis expectativas. Cinco estrellas.,,2
26,"Amazing product, MY whole family loves it. Thank you!",,2
27,"Sehr gutes Produkt, bin sehr zufrieden. Gerne wieder!",,2
28,GREAT value for money. Highly recommend to everyone.,,2
29,Great value for money. Highly recommend to everyone.,,2
30,Ne ressemble pas du tout à la description. Complète arnaque.,,0
31,Absolutely love this product! Best purchase I've made this year.,,2
32,"Excelente producto, lo recomendaría sin dudarlo.",,2
33,Really impressed with the build quality. Would buy again.,,2
34,"Funciona, aunque la calidad deja algo que desear.",,1
35,Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,,2
36,"Amazing product, my whole family LOVES it. Thank you!",,2
37,Calidad excepcional para el precio. Muy recomendable.,,2
38,Exactly what I was looking for. Great price.,,2
39,I've used better products but this one is functional.,,1
40,Terrible servicio al cliente. Jamás volvería a comprar aquí.,,0
41,Good value for money. Highly recommend it!,,2
42,Good value for money. Highly recommend it!,,2
43,Fantastic item! Exceeded all my expectations.,,2
44,"Honnêtement, c'est passable. Pas sûr de recommander.",,1
45,Exactly what I was looking for. Great price.,,2
46,"EXCELLENT product, highly recommend! BEST EVER!!!",,2
47,Excellent quality and fast shipping. Will definitely buy again.,,2
48,Llegó en perfectas condiciones y es tal y como se describe.,,2
49,Acceptable quality. Could be improved.,,1
50,Perfect gift idea. Delivery was speedy and packaging was great.,,2
51,Does the job. Not amazing but not bad either.,,1
52,Muy buena relación calidad-precio. Repetiré la compra.,,2
53,Fantastic item! Exceeded all MY expectations.,,2
54,Publicidad engañosa. Quiero mi dinero de vuelta.,,0
55,Akzeptable Qualität. Könnte besser sein. 😍,,1
56,Fantastisches Produkt zu einem fairen Preis. Top!,,2
57,Je suis vraiment content de cet achat. Je recommande vivement.,,2
58,It's alright. Nothing to complain about really.,,1
59,¡Increíble! Me encanta mucho.,,2
60,"Amazing product, my whole family loves it. Thank you!",,2
61,"Bin BEGEISTERT! Qualität top, Lieferung blitzschnell.",,2
62,Perfect gift idea. Delivery was speedy and packaging was great.,,2
63,Llegó en perfectas condiciones y es tal y como se describe.,,2
64,Decent enough. Not sure I would buy it again though.,,1
65,Very pleased with this purchase. Quick delivery too!,,2
66,Ne ressemble pas du tout à la description. Complète arnaque.,,2
67,Producto básico. Cumple su función sin más.,,1
68,Pasable. Hay mejores opciones en el mercado.,,1
69,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,,2
70,Great value for money. Highly recommend to everyone.,,2
71,It arrived on time. Quality is acceptable for the price.,,1
72,Excellent! Je suis très satisfait. Cinq étoiles méritées.,,2
73,Livraison rapide et produit conforme à la description. Parfait!,,2
74,Outstanding customer experience from start to finish.,,2
75,I've used better products but this ONE is functional.,,1
76,Exactly what I was looking for. Great price.,,2
77,"Excelente producto, lo recomendaría sin dudarlo. 👍",,2
78,Muy decepcionado. El producto llegó roto y el soporte es inútil.,,0
79,"Superb quality, very sturdy and well-made. Five stars.",,2
80,"Livraison soignée, produit de qualité. Recommande fortement.",,2
81,Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.,,1
82,Absolutely love this product! Best purchase I've made this year.,,2
83,Regular tirando a bien. Cumple con lo básico.,,1
84,Good value for money. Highly recommend it!,,0
85,Me ha sorprendido gratamente. Muy buena compra.,,2
86,"Superb quality, very sturdy and well-made. Five stars.",,2
87,Exactly what I was looking for. Great price.,,2
88,Very pleased with this purchase. Quick delivery too!,,2
89,Absolutely love this product! Best purchase I've made this year.,,2
90,Utterly useless product. Straight in the bin.,,0
91,Schreckliche Qualität. Ich werde hier nie wieder bestellen.,,0
92,Producto básico. Cumple su función sin más.,,1
93,Ni bien ni mal. Hace lo que se supone que debe hacer. ⭐,,1
94,Produkt nach zwei Tagen kaputt. Totaler Schrott.,,0
95,¡Maravilloso! Toda la familia está encantada con el producto.,,2
96,Très content de mon achat. Le produit est encore mieux en VRAI.,,2
97,"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",,2
98,Super produit! Exactly comme décrit. Livraison express. Bravo!,,2
99,Product arrived quickly and LOOKS exactly as described. Very happy.,,2
